13.60,64,10.02,1.13,2,11
13.62,56,9.50,1.50,2,11
13.68,31,11.50,2.22,2,11
13.70,30,12.51,2.67,2,11
13.72,32,14.32,2.65,2,11
13.78,23,13.73,3.45,2,11
13.80,20,14.07,3.60,2,11
13.82,18,16.57,3.62,2,11
13.88,20,13.42,3.44,2,11
13.90,15,9.60,2.01,2,11
13.93,22,6.10,0.83,2,11
13.98,17,2.38,1.99,2,11
14.01,14,2.43,2.89,2,11
14.03,17,3.74,3.79,2,11
14.09,16,5.41,5.52,2,11
14.11,15,7.97,5.80,2,11
14.13,13,11.29,5.72,2,11
14.19,5,21.08,5.58,2,11
14.21,6,22.73,5.02,2,11
14.23,6,21.03,4.34,2,11
14.29,30,13.91,1.31,2,11
14.31,75,13.19,2.31,2,11
14.33,106,14.67,2.22,2,11
14.39,140,12.09,3.54,3,11
14.41,140,15.40,2.07,3,11
14.43,142,10.93,2.13,3,11
14.50,134,8.88,0.97,0,12
14.52,132,8.99,0.67,0,12
14.54,118,10.31,0.74,1,12
14.60,101,8.74,0.57,1,12
14.62,98,9.52,0.49,1,12
14.65,97,9.72,0.58,1,12
14.70,65,9.29,0.81,2,12
14.73,63,9.05,0.93,2,12
14.75,59,9.20,0.99,2,12
14.80,31,10.10,1.68,2,12
14.82,33,10.31,1.84,2,12
14.85,27,10.84,2.01,2,12
14.90,22,12.93,2.63,2,12
14.93,22,12.88,2.96,2,12
14.95,23,15.26,3.51,2,12
15.00,21,16.21,4.40,2,12
15.03,14,14.88,4.73,2,12
15.05,15,13.63,3.85,2,12
15.10,28,4.68,0.57,2,12
15.13,26,4.65,0.99,2,12
15.15,16,2.30,2.16,2,12
15.21,19,5.67,4.26,2,12
15.23,20,10.32,4.68,2,12
15.25,18,6.92,4.90,2,12
15.31,15,12.07,5.32,2,12
15.33,12,14.11,5.43,2,12
15.35,14,17.40,5.69,2,12
15.41,15,18.17,3.84,2,12
15.43,19,17.18,2.61,2,12
